transaction_id,user_id,company_id,transaction_date,product_id,product_description,quantity,price_per_unit,currency,payment_method,country,city
b434db23-21e0-4a5d-bc66-da864528a7dc,2439321,6138,2020-08-15 23:58:02,139774,Analysis example challenge.,199,59793,OMR,Debit Card,Reunion,South Mariaport
4157bdb6-3dc0-4e36-abf7-e8baa809ea56,1109466,32458,2022-11-21 01:01:49,93896,Center put dark institution.,241,22173,MAD,Check,Canada,Mcgrathchester
b3967911-098f-43d4-ab07-aa790bd06ea3,2589488,40659,2023-06-17 17:17:05,4320,Throw to might design benefit event.,347,82673,BAM,Debit Card,Ireland,Port Crystal
147afab9-b6f5-40ec-ac83-166032e0addd,4971796,5437,2020-04-21 05:56:38,116349,Yet teacher four address cold glass very.,606,21941,MGA,Debit Card,France,Nicholeton
da3932cb-6074-4644-ad85-e0de82ed816c,2011331,23570,2022-04-24 21:07:54,104481,Theory case education image identify.,782,48683,CNY,Bank Transfer,Korea,Angelabury
12fbc494-ec70-4b5e-8c47-4ed8e5d0249a,4633186,13592,2021-04-28 18:10:17,25495,Career camera seat whether whom nearly.,558,71984,SRD,PayPal,Trinidad and Tobago,New Alyssa
dd5e9c65-5d71-4f2a-9506-ea22ac90ed99,2146523,4802,2021-10-26 14:52:05,86825,Should think agree glass sing would best natural.,384,89694,PLN,Cash,Lebanon,Lake Janice
acdba18f-2471-480e-865c-999c5278f39f,4018806,47064,2021-09-06 14:55:18,111922,Several fight sense feeling. Expect support add.,481,82158,FKP,PayPal,North Macedonia,Stephanieland
cd19ad41-9979-442e-a7c7-83ce40e37c4a,2993440,3036,2022-10-30 23:28:29,112083,Interest military analysis where.,358,16319,SVC,Bank Transfer,Haiti,East Michael
e67590fc-bd58-467c-8f9a-a6a7c17b78b7,649017,33108,2022-05-04 19:58:31,30520,Hit leg feeling road interest eight.,50,91575,ZWD,PayPal,United States of America,West Katherineborough
468873a0-c2f7-4046-b6ae-741d1173496f,2657468,37083,2020-03-29 07:32:34,34372,Happy add officer.,278,33779,ZMW,Bank Transfer,Iraq,Port Lisa
